,ZONE CHART,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,
2,,,,,,,,,
3,For shipments originating in ZIP Codes 464-01 to 464-99. To determine zone,,,,,,,,
4,take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,
5,,,,,,,,,
6,ZONES,,,,,,,,
7,Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
603,635,003,303,203,243,133,103,,
604,636,004,304,204,244,134,104,,
605,637,004,304,204,244,134,104,,
606,638,004,304,204,244,134,104,,
607,639,004,304,204,244,134,104,,
608,640,004,304,204,244,134,104,,
609,641,004,304,204,244,134,104,,
610,644,004,304,204,244,134,104,,
611,645,004,304,204,244,134,104,,
612,646,004,304,204,244,134,104,,
613,647,004,304,204,244,134,104,,
614,648,004,304,204,244,134,104,,
615,649,004,304,204,244,134,104,,
616,650,004,304,204,244,134,104,,
617,651,004,304,204,244,134,104,,
618,652,004,304,204,244,134,104,,
619,653,004,304,204,244,134,104,,
620,654,004,304,204,244,134,104,,
621,655,004,304,204,244,134,104,,
622,656,004,304,204,244,134,104,,
623,657,004,304,204,244,134,104,,
624,658,004,304,204,244,134,104,,
625,660,004,304,204,244,134,104,,
626,661,004,304,204,244,134,104,,
627,662,004,304,204,244,134,104,,
628,664,004,304,204,244,134,104,,
629,665,004,304,204,244,134,104,,
630,666,004,304,204,244,134,104,,
631,667,004,304,204,244,134,104,,
632,668,004,304,204,244,134,104,,
633,669,004,304,204,244,134,104,,
634,670,004,304,204,244,134,104,,
635,671,004,304,204,244,134,104,,
636,672,004,304,204,244,134,104,,
637,673,004,304,204,244,134,104,,
638,674,004,304,204,244,134,104,,
639,675,004,304,204,244,134,104,,
640,676,005,305,205,245,135,105,,
641,677,005,305,205,245,135,105,,
642,678,005,305,205,245,135,105,,
643,679,005,305,205,245,135,105,,
644,680,004,304,204,244,134,104,,
645,681,004,304,204,244,134,104,,
646,683,004,304,204,244,134,104,,
647,684,004,304,204,244,134,104,,
648,685,004,304,204,244,134,104,,
649,686,004,304,204,244,134,104,,
650,687,004,304,204,244,134,104,,
651,688,004,304,204,244,134,104,,
652,689,004,304,204,244,134,104,,
653,690,005,305,205,245,135,105,,
654,691,005,305,205,245,135,105,,
655,692,005,305,205,245,135,105,,
656,693,005,305,205,245,135,105,,
657,700,005,305,205,245,135,105,,
658,701,005,305,205,245,135,105,,
659,703,005,305,205,245,135,105,,
660,704,005,305,205,245,135,105,,
661,705,005,305,205,245,135,105,,
662,706,005,305,205,245,135,105,,
663,707,005,305,205,245,135,105,,
664,708,005,305,205,245,135,105,,
665,710,005,305,205,245,135,105,,
666,711,005,305,205,245,135,105,,
667,712,005,305,205,245,135,105,,
668,713,005,305,205,245,135,105,,
669,714,005,305,205,245,135,105,,
670,716,004,304,204,244,134,104,,
671,717,005,305,205,245,135,105,,
672,718,005,305,205,245,135,105,,
673,719,004,304,204,244,134,104,,
674,720,004,304,204,244,134,104,,
675,721,004,304,204,244,134,104,,
676,722,004,304,204,244,134,104,,
677,723,004,304,204,244,134,104,,
678,724,004,304,204,244,134,104,,
679,725,004,304,204,244,134,104,,
680,726,004,304,204,244,134,104,,
681,727,004,304,204,244,134,104,,
682,728,004,304,204,244,134,104,,
683,729,004,304,204,244,134,104,,
684,730,005,305,205,245,135,105,,
685,731,005,305,205,245,135,105,,
686,733,005,305,205,245,135,105,,
687,734,005,305,205,245,135,105,,
688,735,005,305,205,245,135,105,,
